City,Country,Latitude,Longitude,Distance
Pingdingshan,China,33.735,113.2999,0
Huai'an,China,33.5,119.1331,0
Xinpu,China,34.5906,119.1801,0
Guilin,China,25.2667,110.2833,0
Huaihua,China,27.5494,109.9592,0
Jiujiang,China,29.7048,116.0021,0
Anqing,China,30.5,117.0333,0
Boston,United States,42.3188,-71.0846,0
Huanglongsi,China,34.7936,114.3403,0
Xiaoganzhan,China,30.9273,113.911,0
Changzhou,China,31.8122,119.9692,0
Barcelona,Spain,41.3825,2.1769,0
Chenzhou,China,25.7989,113.0267,0
Wuxi,China,31.5667,120.2833,0
Zibo,China,36.7831,118.0497,0
Jiaxing,China,30.7522,120.75,0
Dalian,China,38.9131,121.61,0
Harbin,China,45.75,126.6333,0
Yangzhou,China,32.3912,119.4363,0
Yibin,China,28.7596,104.64,0
Jiangmen,China,22.5833,113.0833,0
Johannesburg,South Africa,-26.2044,28.0416,0
Meizhou,China,24.2998,116.1191,0
Chifeng,China,42.2663,118.9223,0
Casablanca,Morocco,33.5992,-7.62,0
Guiyang,China,26.5794,106.7078,0
Langfang,China,39.5196,116.7006,0
Zhangjiakou,China,40.8108,114.8811,0
Izmir,Turkey,38.4127,27.1384,0
Linfen,China,36.0812,111.5087,0
Wenzhou,China,27.9991,120.6561,0
Monterrey,Mexico,25.6667,-100.3,0
Luzhou,China,28.8918,105.4409,0
Jiangguanchi,China,34.0244,113.8201,0
Neijiang,China,29.5872,105.0635,0
Phoenix,United States,33.5722,-112.0891,0
Yanjiang,China,30.1256,104.6397,0
Yiyang,China,28.5833,112.3333,0
Zhaoqing,China,23.047,112.465,0
Hengshui,China,37.7348,115.686,0
Guigang,China,23.0961,109.6092,0
Xiaoxita,China,30.7083,111.2803,0
Xiamen,China,24.4797,118.0819,0
Chuzhou,China,32.3062,118.3115,0
Fuzhou,China,27.9814,116.3577,0
Amman,Jordan,31.95,35.9333,0
Jeddah,Saudi Arabia,21.5428,39.1728,0
Sialkot City,Pakistan,32.5,74.5333,0
Huizhou,China,23.1115,114.4152,0
Qingyuan,China,23.6842,113.0507,0
Zhuzhou,China,27.8407,113.1469,0
Wuhu,China,31.334,118.3622,0
Hechi,China,23.0965,109.6091,0
Seattle,United States,47.6211,-122.3244,0
Loudi,China,27.7378,111.9974,0
Binzhou,China,37.3806,118.0125,0
Liuzhou,China,24.3181,109.4069,0
Yokohama,Japan,35.4333,139.6333,0
Baojishi,China,34.3609,107.1751,0
Guang'an,China,30.4673,106.6336,0
Hanzhong,China,33.0794,107.026,0
Kabul,Afghanistan,34.5328,69.1658,0
Zaozhuang,China,34.8667,117.55,0
Berlin,Germany,52.5167,13.3833,0
Anshan,China,41.1066,122.9895,0
Deyang,China,31.1289,104.395,0
Lanzhou,China,36.0617,103.8318,0
Chengde,China,40.9739,117.9322,0
San Francisco,United States,37.7562,-122.443,0
Puyang,China,35.7639,115.03,0
Suining,China,30.5098,105.5737,0
Jiaozuo,China,35.229,113.2304,0
Bengbu,China,32.9354,117.3531,0
Montreal,Canada,45.5089,-73.5617,0
Detroit,United States,42.3834,-83.1024,0
Baicheng,China,23.901,106.6194,0
Busan,"Korea, South",35.1,129.0403,0
Algiers,Algeria,36.7764,3.0586,0
