City,Country,Latitude,Longitude,Distance
Tai'an,China,36.2001,117.0809,3754.540668868818
Yulin,China,22.6293,110.1507,3412.5253600346477
Dezhou,China,37.4513,116.3105,3682.853847553003
Houston,United States,29.7863,-95.3889,13242.634610558793
Atlanta,United States,33.7627,-84.4224,12585.917264936563
Rangoon,Burma,16.8,96.15,2489.267981746253
Toronto,Canada,43.7417,-79.3733,11394.714426005188
Suihua,China,46.6384,126.9808,4608.355916529205
Washington,United States,38.9047,-77.0163,11819.662216056275
Qiqihar,China,47.3398,123.9512,4388.031952843526
Jinhua,China,29.1046,119.6494,4102.958022654615
Saint Petersburg,Russia,59.95,30.3167,4721.166516780705
Shantou,China,23.3735,116.6941,4006.1895466186097
Sydney,Australia,-33.865,151.2094,10591.64162012007
Weinan,China,34.4996,109.4684,3070.373140381131
Suqian,China,33.9331,118.2831,3883.029677824261
Guadalajara,Mexico,20.6767,-103.3475,14305.26558421563
Suzhou,China,31.304,120.6164,4142.757086131212
Fuzhou,China,26.0769,119.2917,4157.592969815536
Zhaotong,China,27.3328,103.7144,2630.703528764179
Pudong,China,31.2231,121.5397,4230.626400965703
Yongzhou,China,26.4515,111.5953,3410.299118807913
Belo Horizonte,Brazil,-19.8917,-43.9478,14011.825850994872
Zhangzhou,China,24.5093,117.6612,4055.9172803692027
Bozhou,China,33.8626,115.7742,3653.473988235252
Melbourne,Australia,-37.8136,144.9631,10385.689518584406
Nanchang,China,28.6842,115.8872,3757.1627009812223
Xianyang,China,34.35,108.7167,3001.7840512802454
Taizhou,China,32.4831,119.9,4053.635931581246
Surabaya,Indonesia,-7.2458,112.7378,5689.583297491858
Abidjan,Côte D’Ivoire,5.3364,-4.0267,8835.58327678269
Ji'an,China,27.1172,114.9793,3713.600706776903
Mianyang,China,31.4669,104.7385,2648.70301885247
Shaoxing,China,30,120.5833,4168.809130378889
Alexandria,Egypt,31.2,29.9167,4443.791473329845
Yuncheng,China,35.0304,110.998,3208.8814673710035
Pingdingshan,China,33.735,113.2999,3426.8983482997983
Huai'an,China,33.5,119.1331,3966.8133898090887
Xinpu,China,34.5906,119.1801,3957.2686327465435
Guilin,China,25.2667,110.2833,3323.6232566793033
Huaihua,China,27.5494,109.9592,3221.864439924353
Jiujiang,China,29.7048,116.0021,3743.5905829529042
Anqing,China,30.5,117.0333,3823.616481943898
Boston,United States,42.3188,-71.0846,11261.812207926136
Huanglongsi,China,34.7936,114.3403,3514.410137843169
Xiaoganzhan,China,30.9273,113.911,3521.4255074117336
Changzhou,China,31.8122,119.9692,4072.2932415255214
Barcelona,Spain,41.3825,2.1769,6615.539605490712
Chenzhou,China,25.7989,113.0267,3568.019549279778
Wuxi,China,31.5667,120.2833,4106.342281711647
Zibo,China,36.7831,118.0497,3838.49520818365
Jiaxing,China,30.7522,120.75,4167.103311073618
Dalian,China,38.9131,121.61,4144.149223244882
Harbin,China,45.75,126.6333,4574.737241545774
Yangzhou,China,32.3912,119.4363,4012.2396796958915
Yibin,China,28.7596,104.64,2683.558435202184
Jiangmen,China,22.5833,113.0833,3693.308023895805
Johannesburg,South Africa,-26.2044,28.0416,8181.494272382085
Meizhou,China,24.2998,116.1191,3916.0933711171333
Chifeng,China,42.2663,118.9223,3929.761075147142
Casablanca,Morocco,33.5992,-7.62,7722.036540386528
Guiyang,China,26.5794,106.7078,2938.9767104605876
Langfang,China,39.5196,116.7006,3722.1631107946214
Zhangjiakou,China,40.8108,114.8811,3579.113365549717
Izmir,Turkey,38.4127,27.1384,4579.677736897729
Linfen,China,36.0812,111.5087,3254.5182959499784
Wenzhou,China,27.9991,120.6561,4228.373451476367
Monterrey,Mexico,25.6667,-100.3,13743.199989031666
Luzhou,China,28.8918,105.4409,2757.1691877851727
Jiangguanchi,China,34.0244,113.8201,3472.341818556009
Neijiang,China,29.5872,105.0635,2707.112315677262
Phoenix,United States,33.5722,-112.0891,12809.678154218826
Yanjiang,China,30.1256,104.6397,2657.3271729069734
Yiyang,China,28.5833,112.3333,3421.650250818596
Zhaoqing,China,23.047,112.465,3615.3861194011943
Hengshui,China,37.7348,115.686,3627.992655689997
Guigang,China,23.0961,109.6092,3341.6106630004133
Xiaoxita,China,30.7083,111.2803,3277.2194116472438
Xiamen,China,24.4797,118.0819,4097.225630308327
